,Date,Prcp
1410,2017-04-16,0.0
236,2017-04-16,0.0
1411,2017-04-17,0.3
2108,2017-04-17,1.3
598,2017-04-17,0.41
1146,2017-04-17,
237,2017-04-17,0.02
900,2017-04-17,
1766,2017-04-17,1.04
2109,2017-04-18,0.98
1412,2017-04-18,0.15
901,2017-04-18,0.12
1147,2017-04-18,0.0
599,2017-04-18,0.08
238,2017-04-18,0.0
1767,2017-04-18,2.03
1768,2017-04-19,0.02
239,2017-04-19,0.02
1148,2017-04-19,
600,2017-04-19,0.02
2110,2017-04-19,0.14
902,2017-04-19,0.0
1413,2017-04-19,0.0
240,2017-04-20,0.05
903,2017-04-20,0.0
2111,2017-04-20,0.0
1414,2017-04-20,0.35
601,2017-04-20,0.33
1149,2017-04-20,
1769,2017-04-20,0.05
2112,2017-04-21,1.84
1770,2017-04-21,1.74
241,2017-04-21,0.23
1415,2017-04-21,2.36
1150,2017-04-21,
602,2017-04-21,1.16
904,2017-04-21,1.05
603,2017-04-22,1.01
242,2017-04-22,0.32
2113,2017-04-22,1.35
1771,2017-04-22,1.58
905,2017-04-22,0.7
2114,2017-04-23,0.35
604,2017-04-23,0.02
1772,2017-04-23,0.06
243,2017-04-23,0.03
1773,2017-04-24,0.01
605,2017-04-24,0.0
1151,2017-04-24,
1416,2017-04-24,
2115,2017-04-24,0.05
244,2017-04-24,0.0
906,2017-04-24,
606,2017-04-25,0.0
1417,2017-04-25,0.0
2116,2017-04-25,0.0
245,2017-04-25,0.0
1774,2017-04-25,0.0
907,2017-04-25,0.0
1152,2017-04-25,
246,2017-04-26,0.0
607,2017-04-26,0.0
1418,2017-04-26,0.01
908,2017-04-26,0.14
2117,2017-04-26,0.22
1775,2017-04-26,0.02
2118,2017-04-27,0.11
247,2017-04-27,0.0
1776,2017-04-27,0.19
608,2017-04-27,0.1
1153,2017-04-27,
1419,2017-04-27,0.0
909,2017-04-27,0.02
609,2017-04-28,2.6
248,2017-04-28,0.0
1154,2017-04-28,
1777,2017-04-28,0.76
910,2017-04-28,0.09
2119,2017-04-28,0.79
1420,2017-04-28,0.0
911,2017-04-29,0.95
2120,2017-04-29,0.0
1421,2017-04-29,6.25
1778,2017-04-29,0.37
610,2017-04-29,0.35
249,2017-04-29,0.12
250,2017-04-30,0.89
611,2017-04-30,1.21
2121,2017-04-30,0.8
1422,2017-04-30,1.31
912,2017-04-30,1.17
1779,2017-04-30,1.04
913,2017-05-01,0.03
612,2017-05-01,0.07
251,2017-05-01,0.26
1780,2017-05-01,0.13
2122,2017-05-01,0.25
1423,2017-05-01,0.07
252,2017-05-02,0.0
914,2017-05-02,0.01
1781,2017-05-02,0.01
2123,2017-05-02,0.0
613,2017-05-02,0.03
1424,2017-05-02,0.0
253,2017-05-03,0.0
915,2017-05-03,0.01
614,2017-05-03,0.01
1782,2017-05-03,0.01
1425,2017-05-03,0.0
1426,2017-05-04,0.0
254,2017-05-04,0.0
916,2017-05-04,0.08
1783,2017-05-04,0.0
615,2017-05-04,0.0
2124,2017-05-04,
616,2017-05-05,0.0
2125,2017-05-05,0.1
917,2017-05-05,0.28
1427,2017-05-05,0.0
1784,2017-05-05,0.0
255,2017-05-05,0.0
1785,2017-05-06,0.0
617,2017-05-06,0.0
2126,2017-05-06,0.0
256,2017-05-06,0.0
1428,2017-05-06,0.0
918,2017-05-06,0.06
257,2017-05-07,0.0
1786,2017-05-07,0.02
618,2017-05-07,0.07
1429,2017-05-07,0.0
2127,2017-05-07,0.03
1787,2017-05-08,0.73
619,2017-05-08,0.22
258,2017-05-08,0.0
919,2017-05-08,0.95
2128,2017-05-08,1.11
1430,2017-05-08,0.0
1431,2017-05-09,0.68
920,2017-05-09,0.52
1788,2017-05-09,1.58
620,2017-05-09,1.62
2129,2017-05-09,0.23
621,2017-05-10,0.05
2130,2017-05-10,0.55
1432,2017-05-10,0.06
259,2017-05-10,0.0
921,2017-05-10,0.0
1789,2017-05-10,0.2
2131,2017-05-11,0.44
1433,2017-05-11,0.0
1790,2017-05-11,0.12
260,2017-05-11,0.01
622,2017-05-11,0.03
1434,2017-05-12,0.0
2132,2017-05-12,0.1
261,2017-05-12,0.0
623,2017-05-12,0.04
1791,2017-05-12,0.02
922,2017-05-12,
262,2017-05-13,0.0
1435,2017-05-13,0.0
2133,2017-05-13,0.1
1792,2017-05-13,0.12
624,2017-05-13,0.02
1793,2017-05-14,0.17
625,2017-05-14,0.05
1436,2017-05-14,0.0
263,2017-05-14,0.0
2134,2017-05-14,1.0
626,2017-05-15,0.08
1437,2017-05-15,0.06
923,2017-05-15,
2135,2017-05-15,0.6
264,2017-05-15,0.05
1794,2017-05-15,0.09
1795,2017-05-16,0.03
924,2017-05-16,0.05
627,2017-05-16,0.03
265,2017-05-16,0.01
2136,2017-05-16,0.3
1438,2017-05-16,0.0
628,2017-05-17,0.02
2137,2017-05-17,0.06
925,2017-05-17,0.0
1439,2017-05-17,0.0
1796,2017-05-17,0.07
266,2017-05-17,0.0
267,2017-05-18,0.01
926,2017-05-18,0.16
2138,2017-05-18,0.0
1797,2017-05-18,0.13
1440,2017-05-18,0.46
629,2017-05-18,0.09
268,2017-05-19,0.0
1798,2017-05-19,0.01
630,2017-05-19,0.02
927,2017-05-19,0.01
269,2017-05-20,0.0
1441,2017-05-20,
2139,2017-05-20,
928,2017-05-20,0.01
631,2017-05-20,0.0
1799,2017-05-20,0.02
1800,2017-05-21,0.01
632,2017-05-21,0.0
2140,2017-05-21,0.0
1442,2017-05-21,0.0
270,2017-05-21,0.0
929,2017-05-22,
1801,2017-05-22,0.06
1443,2017-05-22,0.0
2141,2017-05-22,0.3
633,2017-05-22,0.0
271,2017-05-22,0.0
930,2017-05-23,0.11
1444,2017-05-23,0.0
1802,2017-05-23,0.06
2142,2017-05-23,0.44
272,2017-05-23,0.08
634,2017-05-23,0.02
931,2017-05-24,0.1
273,2017-05-24,0.13
1445,2017-05-24,0.61
635,2017-05-24,0.58
1803,2017-05-24,0.3
2143,2017-05-24,2.17
1446,2017-05-25,0.55
1804,2017-05-25,0.2
274,2017-05-25,0.15
932,2017-05-25,0.07
636,2017-05-25,0.37
2144,2017-05-25,0.88
1447,2017-05-26,0.0
1805,2017-05-26,0.0
637,2017-05-26,0.02
2145,2017-05-26,0.0
933,2017-05-26,0.0
2146,2017-05-27,0.5
638,2017-05-27,0.0
934,2017-05-27,0.0
275,2017-05-27,0.01
1448,2017-05-27,0.0
1806,2017-05-27,0.0
2147,2017-05-28,0.0
276,2017-05-28,0.02
639,2017-05-28,0.29
935,2017-05-28,0.02
1449,2017-05-28,0.0
1807,2017-05-28,0.08
936,2017-05-29,0.0
1450,2017-05-29,0.0
640,2017-05-29,0.02
277,2017-05-29,0.0
1808,2017-05-29,0.4
1809,2017-05-30,1.12
937,2017-05-30,0.04
1451,2017-05-30,0.11
641,2017-05-30,0.2
278,2017-05-30,0.26
2148,2017-05-30,
279,2017-05-31,0.02
1810,2017-05-31,0.25
938,2017-05-31,0.0
1452,2017-05-31,0.0
642,2017-05-31,0.1
2149,2017-06-01,0.01
939,2017-06-01,0.0
643,2017-06-01,0.03
1811,2017-06-01,0.0
280,2017-06-01,0.0
1453,2017-06-01,0.0
281,2017-06-02,0.0
1812,2017-06-02,0.09
644,2017-06-02,0.1
1155,2017-06-02,
1454,2017-06-02,0.0
940,2017-06-02,0.15
941,2017-06-03,0.16
645,2017-06-03,0.2
1813,2017-06-03,0.08
1455,2017-06-03,0.15
282,2017-06-03,0.02
2150,2017-06-03,
283,2017-06-04,0.0
1814,2017-06-04,0.13
646,2017-06-04,0.15
2151,2017-06-04,0.82
942,2017-06-04,0.05
1456,2017-06-04,0.0
1815,2017-06-05,0.05
1156,2017-06-05,
284,2017-06-05,0.0
1457,2017-06-05,0.0
943,2017-06-05,0.02
2152,2017-06-05,0.01
647,2017-06-05,0.0
1816,2017-06-06,0.0
944,2017-06-06,0.0
285,2017-06-06,0.0
648,2017-06-06,0.0
2153,2017-06-06,0.0
1157,2017-06-06,
1458,2017-06-06,0.0
1459,2017-06-07,0.0
649,2017-06-07,0.0
945,2017-06-07,0.0
286,2017-06-07,0.0
1817,2017-06-07,0.0
1158,2017-06-07,
2154,2017-06-07,0.01
1159,2017-06-08,
1460,2017-06-08,0.0
1818,2017-06-08,0.0
287,2017-06-08,0.0
946,2017-06-08,0.01
650,2017-06-08,0.02
2155,2017-06-08,0.0
1461,2017-06-09,0.0
288,2017-06-09,0.0
947,2017-06-09,0.0
1160,2017-06-09,
651,2017-06-09,0.02
1819,2017-06-09,0.02
1820,2017-06-10,0.62
289,2017-06-10,0.04
652,2017-06-10,0.21
1462,2017-06-10,0.13
2156,2017-06-10,
948,2017-06-10,0.53
653,2017-06-11,0.24
949,2017-06-11,0.14
1821,2017-06-11,0.74
290,2017-06-11,0.08
1463,2017-06-11,0.25
2157,2017-06-11,0.7
291,2017-06-12,0.02
950,2017-06-12,0.35
2158,2017-06-12,0.81
1822,2017-06-12,0.24
1464,2017-06-12,0.14
654,2017-06-12,0.19
2159,2017-06-13,0.65
292,2017-06-13,0.0
1823,2017-06-13,0.24
1465,2017-06-13,0.03
1161,2017-06-13,
951,2017-06-13,0.1
655,2017-06-13,0.36
293,2017-06-14,0.0
1824,2017-06-14,0.22
1466,2017-06-14,0.06
2160,2017-06-14,0.81
656,2017-06-14,0.27
1162,2017-06-14,
952,2017-06-14,0.21
2161,2017-06-15,1.69
294,2017-06-15,0.0
657,2017-06-15,0.17
953,2017-06-15,0.3
1467,2017-06-15,0.0
1163,2017-06-15,
1825,2017-06-15,0.55
658,2017-06-16,0.02
2162,2017-06-16,0.1
295,2017-06-16,0.0
1164,2017-06-16,
1826,2017-06-16,0.06
954,2017-06-16,0.02
1468,2017-06-16,0.0
1827,2017-06-17,0.07
955,2017-06-17,0.02
296,2017-06-17,0.0
2163,2017-06-17,0.1
659,2017-06-17,0.35
1469,2017-06-17,0.0
2164,2017-06-18,0.7
1828,2017-06-18,0.24
297,2017-06-18,0.05
956,2017-06-18,0.18
660,2017-06-18,0.25
1470,2017-06-18,0.0
957,2017-06-19,0.19
2165,2017-06-19,0.4
298,2017-06-19,0.0
1471,2017-06-19,0.01
1165,2017-06-19,
661,2017-06-19,0.05
1829,2017-06-19,0.08
1830,2017-06-20,0.0
662,2017-06-20,0.05
2166,2017-06-20,0.31
958,2017-06-20,0.17
1166,2017-06-20,
299,2017-06-20,0.02
1167,2017-06-21,
300,2017-06-21,0.0
1472,2017-06-21,
2167,2017-06-21,0.3
1831,2017-06-21,0.19
663,2017-06-21,0.02
2168,2017-06-22,0.28
1473,2017-06-22,0.0
664,2017-06-22,0.1
301,2017-06-22,0.0
1168,2017-06-22,0.0
1832,2017-06-22,0.06
2169,2017-06-23,0.5
1474,2017-06-23,0.05
302,2017-06-23,0.0
959,2017-06-23,
1833,2017-06-23,0.12
1169,2017-06-23,0.0
665,2017-06-23,0.0
2170,2017-06-24,0.22
666,2017-06-24,0.0
303,2017-06-24,0.06
1475,2017-06-24,0.0
1834,2017-06-24,0.36
667,2017-06-25,0.08
1476,2017-06-25,0.0
304,2017-06-25,0.0
2171,2017-06-25,0.5
1835,2017-06-25,0.02
1170,2017-06-26,
2172,2017-06-26,0.02
960,2017-06-26,
668,2017-06-26,0.02
1477,2017-06-26,0.0
1836,2017-06-26,0.06
305,2017-06-26,0.0
2173,2017-06-27,0.1
1478,2017-06-27,0.0
306,2017-06-27,0.0
1171,2017-06-27,0.0
1837,2017-06-27,0.01
669,2017-06-27,0.0
1479,2017-06-28,0.0
2174,2017-06-28,0.02
1172,2017-06-28,0.0
670,2017-06-28,0.01
307,2017-06-28,0.0
1838,2017-06-28,0.0
2175,2017-06-29,0.04
1480,2017-06-29,0.0
1173,2017-06-29,0.0
671,2017-06-29,0.03
1839,2017-06-29,0.0
961,2017-06-29,
308,2017-06-29,0.0
1481,2017-06-30,0.07
1840,2017-06-30,0.01
672,2017-06-30,0.04
962,2017-06-30,0.0
1174,2017-06-30,0.12
2176,2017-06-30,0.2
309,2017-06-30,0.08
673,2017-07-01,0.06
2177,2017-07-01,0.1
1841,2017-07-01,0.08
310,2017-07-01,0.02
1482,2017-07-02,
674,2017-07-02,0.05
311,2017-07-02,0.02
1842,2017-07-02,0.15
2178,2017-07-02,0.5
2179,2017-07-03,0.4
963,2017-07-03,
675,2017-07-03,0.13
1843,2017-07-03,0.15
1483,2017-07-03,0.02
1175,2017-07-03,
312,2017-07-03,0.04
2180,2017-07-04,0.0
1844,2017-07-04,0.08
313,2017-07-04,0.04
676,2017-07-04,0.03
1484,2017-07-05,
1845,2017-07-05,0.0
677,2017-07-05,0.0
314,2017-07-05,0.0
2181,2017-07-05,0.0
964,2017-07-05,
1176,2017-07-05,
1846,2017-07-06,0.0
678,2017-07-06,0.0
2182,2017-07-06,0.02
1485,2017-07-06,0.0
1177,2017-07-06,
315,2017-07-06,0.0
679,2017-07-07,0.02
2183,2017-07-07,0.3
965,2017-07-07,
1847,2017-07-07,0.18
1178,2017-07-07,
316,2017-07-07,0.0
1486,2017-07-07,0.0
1487,2017-07-08,0.0
2184,2017-07-08,0.02
317,2017-07-08,0.0
1848,2017-07-08,0.0
680,2017-07-08,0.02
966,2017-07-08,0.06
318,2017-07-09,0.0
2185,2017-07-09,0.0
967,2017-07-09,0.0
681,2017-07-09,0.09
1488,2017-07-09,0.0
1849,2017-07-09,0.11
1489,2017-07-10,0.0
968,2017-07-10,0.0
1850,2017-07-10,0.02
682,2017-07-10,0.0
1179,2017-07-10,
2186,2017-07-10,0.02
319,2017-07-10,0.0
1851,2017-07-11,0.02
683,2017-07-11,0.01
320,2017-07-11,0.0
1490,2017-07-11,0.0
969,2017-07-11,0.0
2187,2017-07-11,0.0
1180,2017-07-11,
2188,2017-07-12,0.05
1181,2017-07-12,
970,2017-07-12,0.02
684,2017-07-12,0.01
1852,2017-07-12,0.28
1491,2017-07-12,0.0
321,2017-07-12,0.0
685,2017-07-13,0.33
971,2017-07-13,0.3
1492,2017-07-13,0.11
322,2017-07-13,0.07
1853,2017-07-13,0.32
1182,2017-07-13,
2189,2017-07-13,0.68
972,2017-07-14,0.0
2190,2017-07-14,0.68
323,2017-07-14,0.02
1493,2017-07-14,0.0
686,2017-07-14,0.05
1854,2017-07-14,0.2
324,2017-07-15,0.0
973,2017-07-15,0.01
687,2017-07-15,0.03
2191,2017-07-15,0.1
1494,2017-07-15,0.0
1855,2017-07-15,0.05
2192,2017-07-16,0.5
688,2017-07-16,0.07
325,2017-07-16,0.02
1856,2017-07-16,0.1
974,2017-07-16,0.12
1495,2017-07-16,0.0
689,2017-07-17,0.12
1857,2017-07-17,0.21
1496,2017-07-17,0.0
975,2017-07-17,0.16
326,2017-07-17,0.03
2193,2017-07-17,0.39
1183,2017-07-18,0.0
1858,2017-07-18,0.05
1497,2017-07-18,0.0
327,2017-07-18,0.05
976,2017-07-18,0.0
690,2017-07-18,0.03
2194,2017-07-18,2.4
1859,2017-07-19,0.05
1498,2017-07-19,0.0
977,2017-07-19,0.09
2195,2017-07-19,0.27
1184,2017-07-19,0.0
691,2017-07-19,0.0
2196,2017-07-20,0.7
978,2017-07-20,0.0
1185,2017-07-20,0.0
692,2017-07-20,0.12
328,2017-07-20,0.03
1499,2017-07-20,0.33
1860,2017-07-20,0.06
1861,2017-07-21,0.03
979,2017-07-21,0.0
693,2017-07-21,0.0
2197,2017-07-21,0.1
1500,2017-07-21,0.0
329,2017-07-21,0.0
1186,2017-07-21,0.0
1862,2017-07-22,0.2
1501,2017-07-22,0.0
694,2017-07-22,0.07
2198,2017-07-22,4.0
980,2017-07-22,0.12
330,2017-07-22,0.03
981,2017-07-23,0.07
1863,2017-07-23,0.2
695,2017-07-23,0.06
331,2017-07-23,0.0
2199,2017-07-23,0.8
2200,2017-07-24,0.84
982,2017-07-24,1.19
696,2017-07-24,0.58
332,2017-07-24,0.05
1864,2017-07-24,0.61
1502,2017-07-24,
1503,2017-07-25,0.05
697,2017-07-25,0.03
983,2017-07-25,0.12
2201,2017-07-25,0.3
333,2017-07-25,0.0
1865,2017-07-25,0.11
1187,2017-07-25,0.0
2202,2017-07-26,0.3
698,2017-07-26,0.06
1504,2017-07-26,0.0
1866,2017-07-26,0.12
984,2017-07-26,0.02
334,2017-07-26,0.0
1188,2017-07-26,
699,2017-07-27,0.0
1505,2017-07-27,0.0
335,2017-07-27,0.0
1189,2017-07-27,
1867,2017-07-27,0.01
2203,2017-07-27,0.0
985,2017-07-27,0.0
700,2017-07-28,0.13
2204,2017-07-28,0.4
1506,2017-07-28,0.0
986,2017-07-28,0.14
1868,2017-07-28,0.09
336,2017-07-28,0.0
1190,2017-07-28,0.01
987,2017-07-29,0.02
701,2017-07-29,0.06
1869,2017-07-29,0.23
1507,2017-07-29,0.0
2205,2017-07-29,0.3
337,2017-07-29,0.0
2206,2017-07-30,0.3
1870,2017-07-30,0.0
702,2017-07-30,0.0
1508,2017-07-30,0.0
338,2017-07-30,0.0
339,2017-07-31,0.0
2207,2017-07-31,0.0
703,2017-07-31,0.0
1191,2017-07-31,
1871,2017-07-31,0.0
988,2017-07-31,
1509,2017-07-31,0.0
340,2017-08-01,0.02
2208,2017-08-01,
989,2017-08-01,0.12
1510,2017-08-01,0.0
1511,2017-08-02,0.0
2209,2017-08-02,0.25
990,2017-08-02,0.05
341,2017-08-02,0.0
991,2017-08-03,0.01
342,2017-08-03,0.0
2210,2017-08-03,0.06
1512,2017-08-03,0.0
1513,2017-08-04,0.0
992,2017-08-04,0.04
1872,2017-08-04,0.0
343,2017-08-04,0.02
2211,2017-08-05,
344,2017-08-05,0.0
1873,2017-08-05,0.06
2212,2017-08-06,
345,2017-08-06,0.0
1514,2017-08-06,0.0
1874,2017-08-06,0.0
993,2017-08-06,0.0
1515,2017-08-07,0.0
2213,2017-08-07,0.05
346,2017-08-07,0.0
994,2017-08-07,0.0
1516,2017-08-08,0.0
2214,2017-08-08,0.34
347,2017-08-08,0.0
995,2017-08-08,0.1
996,2017-08-09,0.0
348,2017-08-09,0.0
2215,2017-08-09,0.15
1517,2017-08-10,0.0
2216,2017-08-10,0.07
349,2017-08-10,0.0
997,2017-08-10,0.0
998,2017-08-11,0.0
1518,2017-08-11,0.0
2217,2017-08-11,
350,2017-08-11,0.0
1519,2017-08-12,0.0
2218,2017-08-12,0.14
351,2017-08-12,0.0
352,2017-08-13,0.0
2219,2017-08-13,
1520,2017-08-13,0.0
999,2017-08-13,
1875,2017-08-13,0.0
1521,2017-08-14,0.08
1000,2017-08-14,0.01
2220,2017-08-14,0.22
1876,2017-08-14,0.0
353,2017-08-14,0.0
1522,2017-08-15,0.06
2221,2017-08-15,0.42
1877,2017-08-15,0.32
1001,2017-08-15,0.0
354,2017-08-15,0.02
2222,2017-08-16,0.42
1878,2017-08-16,0.12
1523,2017-08-16,0.07
1002,2017-08-16,0.0
2223,2017-08-17,0.13
1879,2017-08-17,0.01
1003,2017-08-17,0.0
1524,2017-08-17,0.05
2224,2017-08-18,
1880,2017-08-18,0.06
1004,2017-08-18,0.0
355,2017-08-18,0.0
1005,2017-08-19,0.0
2225,2017-08-19,0.09
1525,2017-08-19,
356,2017-08-19,0.0
357,2017-08-20,0.0
1006,2017-08-20,0.01
2226,2017-08-20,
2227,2017-08-21,0.56
1007,2017-08-21,0.02
358,2017-08-21,0.0
1526,2017-08-21,
359,2017-08-22,0.0
2228,2017-08-22,0.5
1527,2017-08-22,0.0
1008,2017-08-23,0.0
360,2017-08-23,0.0
1528,2017-08-23,0.08
2229,2017-08-23,0.45
